Realization	utility	week	infra.
0	0	1669	4
0	0	1930	8
1	0	1669	4
1	0	1930	8
2	0	1722	4
2	0	1982	8
3	0	2035	4
4	0	1461	4
4	0	1722	8
7	0	1669	4
7	0	1930	8
8	0	1826	4
9	0	1513	4
9	0	1774	8
9	0	2087	10
10	0	1408	4
10	0	1669	8
10	0	2139	10
11	0	1669	4
11	0	1930	8
11	0	2295	10
14	0	1565	4
14	0	1878	8
15	0	1408	4
15	0	1669	8
15	0	1982	10
15	0	2295	9
16	0	2139	4
18	0	2087	4
20	0	1826	4
21	0	1513	4
21	0	1774	8
24	0	2295	4
29	0	1356	4
29	0	1617	8
30	0	1617	4
30	0	1982	8
34	0	1722	4
34	0	1982	8
35	0	1774	4
35	0	2035	8
36	0	1408	4
36	0	1669	8
41	0	1878	4
41	0	2191	8
42	0	2139	4
43	0	2035	4
43	0	2295	8
45	0	1774	4
46	0	1669	4
46	0	1930	8
47	0	2035	4
47	0	2295	8
48	0	1617	4
48	0	1878	8
50	0	1982	4
50	0	2243	8
51	0	1722	4
51	0	1982	8
52	0	1513	4
52	0	1774	8
52	0	2087	10
56	0	1513	4
56	0	1774	8
56	0	2087	10
58	0	1722	4
60	0	1774	4
61	0	1930	4
61	0	2191	8
63	0	1982	4
63	0	2243	8
65	0	1356	4
65	0	1617	8
66	0	1461	4
66	0	1722	8
67	0	1513	4
67	0	1774	8
71	0	1356	4
71	0	1617	8
72	0	1461	4
72	0	2295	8
74	0	1722	4
74	0	2035	8
76	0	2243	4
77	0	1461	4
77	0	1722	8
82	0	1774	4
82	0	2035	8
84	0	1982	4
87	0	1774	4
87	0	2035	8
89	0	1826	4
89	0	2191	8
91	0	1408	4
91	0	1669	8
92	0	1826	4
93	0	574	8
93	0	1043	10
93	0	1356	9
93	0	1513	4
94	0	1513	4
95	0	1408	4
95	0	1669	8
99	0	1878	4
100	0	1982	4
100	0	2243	8
104	0	1878	4
104	0	2139	8
108	0	1252	8
108	0	1669	4
108	0	2139	10
109	0	1826	4
109	0	2139	8
110	0	1878	4
113	0	1200	4
113	0	1461	8
113	0	2035	10
115	0	1774	4
119	0	939	4
119	0	1200	8
119	0	1617	10
119	0	1930	9
121	0	1617	4
121	0	1878	8
121	0	2295	10
122	0	1617	4
122	0	1878	8
125	0	1095	8
125	0	1722	4
125	0	2035	10
126	0	2295	4
131	0	1722	4
131	0	2087	8
136	0	2243	4
137	0	1200	8
137	0	1461	4
137	0	1774	10
137	0	2087	9
140	0	1826	4
140	0	2087	8
141	0	1148	4
141	0	1722	8
142	0	1356	4
142	0	1617	8
142	0	2035	10
143	0	1669	4
143	0	1930	8
144	0	1826	4
148	0	2139	4
149	0	1878	4
149	0	2191	8
152	0	1513	4
152	0	1774	8
153	0	1617	4
153	0	1878	8
153	0	2191	10
158	0	1565	4
158	0	2035	8
160	0	1930	4
160	0	2243	8
165	0	1408	8
165	0	2087	4
166	0	1148	8
166	0	1565	4
166	0	1878	10
166	0	2191	9
167	0	1826	4
167	0	2087	8
169	0	991	8
169	0	1304	4
169	0	1617	10
169	0	1930	9
175	0	1461	4
175	0	1722	8
176	0	1356	4
176	0	1617	8
176	0	2035	10
178	0	1774	4
178	0	2035	8
179	0	1043	8
179	0	1826	4
179	0	2139	10
182	0	1826	4
187	0	1304	4
187	0	1565	8
187	0	1878	10
187	0	2191	9
188	0	2191	4
190	0	2295	4
192	0	1930	4
194	0	1669	4
194	0	1930	8
195	0	1617	4
195	0	1878	8
201	0	1356	8
201	0	1617	4
201	0	1930	10
201	0	2243	9
202	0	1565	4
204	0	1356	4
204	0	1617	8
204	0	1982	10
204	0	2295	9
205	0	1095	4
205	0	1356	8
205	0	1930	10
205	0	2295	9
206	0	2243	4
207	0	1043	8
207	0	1461	4
207	0	1774	10
207	0	2087	9
210	0	1304	4
210	0	1565	8
211	0	1774	4
211	0	2035	8
213	0	1252	4
213	0	1513	8
213	0	2139	10
216	0	1617	4
216	0	1878	8
216	0	2191	10
219	0	1461	4
219	0	1722	8
219	0	2035	10
220	0	1722	4
222	0	1252	8
222	0	1513	4
222	0	1826	10
222	0	2139	9
226	0	1043	8
226	0	1356	10
226	0	1617	4
226	0	1930	9
227	0	1930	4
228	0	1722	4
228	0	1982	8
229	0	1252	4
229	0	1513	8
229	0	2087	10
230	0	1200	4
230	0	1461	8
230	0	1826	10
230	0	2139	9
231	0	1826	4
231	0	2139	8
232	0	1774	4
232	0	2035	8
233	0	1461	4
233	0	1722	8
234	0	678	8
234	0	991	4
234	0	1304	10
234	0	1617	9
238	0	1774	4
238	0	2035	8
240	0	1774	4
240	0	2139	8
242	0	1304	8
242	0	1930	4
243	0	1878	4
243	0	2191	8
245	0	1982	4
246	0	1826	4
246	0	2087	8
247	0	1982	4
255	0	1930	4
256	0	1982	4
257	0	1408	4
257	0	1669	8
262	0	2087	4
264	0	1669	4
264	0	2087	8
265	0	1669	4
265	0	1930	8
266	0	1252	4
266	0	1513	8
268	0	1669	4
268	0	1930	8
275	0	2035	4
275	0	2295	8
279	0	1774	4
279	0	2035	8
281	0	1617	4
281	0	1930	8
282	0	1513	4
282	0	1774	8
283	0	1565	4
283	0	1826	8
285	0	1513	4
285	0	1774	8
287	0	1617	4
287	0	1878	8
288	0	2035	4
290	0	2139	4
291	0	1043	8
291	0	1461	4
291	0	1774	10
291	0	2087	9
294	0	2087	4
295	0	1669	4
295	0	1982	8
295	0	2295	10
298	0	1930	4
299	0	1930	4
301	0	2035	4
304	0	1565	4
304	0	2035	8
312	0	2191	4
316	0	1774	4
318	0	1722	4
318	0	1982	8
319	0	1043	8
319	0	1356	4
319	0	1669	10
319	0	1982	9
321	0	2139	4
323	0	1669	4
323	0	1982	8
326	0	1461	4
326	0	1722	8
329	0	1826	4
329	0	2087	8
333	0	1408	4
333	0	1669	8
334	0	1669	4
334	0	1982	8
335	0	2139	4
339	0	1461	4
339	0	1722	8
339	0	2139	10
340	0	2035	4
344	0	1461	4
344	0	1722	8
344	0	2035	10
345	0	1774	4
345	0	2087	8
348	0	1304	4
348	0	1565	8
348	0	2243	10
351	0	1304	8
351	0	1565	4
351	0	1930	10
351	0	2243	9
354	0	1722	4
354	0	1982	8
355	0	1878	4
355	0	2243	8
357	0	1669	4
357	0	1930	8
358	0	2087	4
360	0	1356	4
360	0	1617	8
360	0	1930	10
360	0	2243	9
361	0	1252	4
361	0	1513	8
362	0	1774	4
363	0	1826	4
363	0	2087	8
364	0	1461	4
364	0	1722	8
366	0	1408	4
366	0	1774	8
366	0	2087	10
367	0	1513	4
368	0	1095	4
368	0	1356	8
370	0	2087	4
372	0	1722	4
372	0	1982	8
374	0	2139	4
375	0	1043	8
375	0	1930	4
385	0	1878	4
389	0	1878	4
389	0	2139	8
393	0	1513	4
393	0	1774	8
393	0	2139	10
394	0	1095	8
394	0	1461	4
394	0	1774	10
394	0	2087	9
395	0	2035	4
396	0	2087	4
398	0	2087	4
403	0	1095	8
403	0	1513	4
403	0	1826	10
403	0	2139	9
408	0	2243	4
409	0	1095	4
409	0	1356	8
409	0	1669	10
409	0	1982	9
411	0	2243	4
412	0	2191	4
413	0	1669	4
415	0	1513	4
415	0	1774	8
416	0	1565	4
416	0	1826	8
417	0	1148	4
417	0	1408	8
417	0	1930	10
417	0	2295	9
418	0	1408	4
418	0	1669	8
418	0	2087	10
419	0	1774	4
419	0	2035	8
421	0	1513	4
421	0	1826	8
422	0	1408	4
422	0	1669	8
423	0	1930	4
428	0	1200	8
428	0	1617	4
428	0	2035	10
429	0	2191	4
430	0	1513	4
430	0	1774	8
430	0	2087	10
431	0	1513	4
431	0	1774	8
433	0	1774	4
433	0	2035	8
434	0	1878	4
435	0	1095	4
435	0	1356	8
435	0	1669	10
435	0	1982	9
445	0	1982	4
445	0	2243	8
446	0	1461	4
446	0	1826	8
448	0	1669	4
448	0	1930	8
450	0	1408	8
450	0	1565	4
451	0	1513	4
451	0	1774	8
451	0	2087	10
452	0	1617	4
452	0	1878	8
453	0	991	8
453	0	1617	4
453	0	1930	10
453	0	2243	9
454	0	2087	4
455	0	1304	8
455	0	1565	4
455	0	2243	10
456	0	1565	4
456	0	1878	8
457	0	1095	4
457	0	1356	8
457	0	1669	10
457	0	1982	9
459	0	1930	4
459	0	2191	8
461	0	1304	4
461	0	1565	8
461	0	2191	10
465	0	1148	8
465	0	1565	4
465	0	1878	10
465	0	2191	9
467	0	730	8
467	0	991	4
467	0	1304	10
467	0	1617	9
468	0	1304	4
468	0	1565	8
470	0	1669	4
470	0	1930	8
470	0	2243	10
472	0	1513	4
472	0	1774	8
473	0	2243	4
475	0	2035	4
475	0	2295	8
476	0	1878	4
476	0	2139	8
483	0	2035	4
484	0	1200	4
484	0	1461	8
486	0	1461	4
486	0	1826	8
487	0	1982	4
487	0	2243	8
490	0	1878	4
490	0	2139	8
491	0	2139	4
500	0	1774	4
500	0	2035	8
502	0	2295	4
504	0	2087	4
508	0	1252	4
508	0	1513	8
510	0	1513	4
510	0	1774	8
513	0	1513	4
513	0	1774	8
513	0	2087	10
515	0	2243	4
519	0	1774	4
519	0	2035	8
520	0	1148	8
520	0	1356	4
520	0	1669	10
520	0	1982	9
524	0	2243	4
525	0	1722	4
528	0	1461	4
528	0	1826	8
529	0	1461	4
529	0	1722	8
530	0	1826	4
530	0	2087	8
532	0	1617	4
533	0	1565	4
533	0	1826	8
535	0	1513	4
535	0	1826	8
540	0	1513	4
540	0	1774	8
543	0	1774	4
544	0	1513	4
544	0	1774	8
545	0	1617	4
545	0	1878	8
547	0	1565	4
547	0	1826	8
555	0	1513	4
555	0	1774	8
555	0	2191	10
562	0	1878	4
563	0	1200	8
563	0	1408	4
563	0	1722	10
563	0	2035	9
564	0	1304	8
564	0	1513	4
564	0	1982	10
564	0	2295	9
570	0	2295	4
571	0	2295	4
572	0	1826	4
572	0	2087	8
573	0	2139	4
574	0	1200	8
574	0	1565	4
574	0	1878	10
574	0	2191	9
578	0	1461	4
578	0	1722	8
579	0	1982	4
579	0	2243	8
580	0	1513	4
580	0	1774	8
584	0	1565	4
584	0	1826	8
585	0	1252	8
585	0	1565	4
585	0	1878	10
585	0	2191	9
587	0	1722	4
587	0	2035	8
589	0	1304	8
589	0	1513	4
589	0	2035	10
592	0	1252	4
592	0	1513	8
592	0	1878	10
592	0	2191	9
594	0	1669	4
594	0	2139	8
595	0	1565	4
595	0	1826	8
596	0	1304	8
596	0	1565	4
596	0	1878	10
596	0	2191	9
598	0	2295	4
602	0	1669	4
602	0	1930	8
604	0	1878	4
604	0	2139	8
607	0	2139	4
608	0	1878	4
608	0	2139	8
609	0	1617	4
609	0	1878	8
