idx,REL,RF,INF NPC,PFC,WCC,Name
0,0.987,0.03978,51.06907,0.09928,0.05634,Brushed
1,0.989,0.02491,97.31316,0.11002,0.03578,Brushed
2,0.985,0.24082,0.17073,0.63567,0.0348,Brushed
3,0.983,0.09551,21.60269,0.4156,0.09242,Brushed
4,0.983,0.15236,12.15853,0.45857,0.02594,Brushed
5,0.984,0.1142,13.31302,0.59688,0.01296,Brushed
6,0.988,0.24976,39.85339,0.50594,0.01052,Brushed
7,0.989,0.24978,39.85339,0.57563,0.06866,Brushed
8,0.981,0.03224,49.10598,0.0992,0.02952,Brushed
9,0.988,0.24976,36.24836,0.54978,0.00212,Brushed
10,0.986,0.26802,21.23883,0.48668,0.00368,Brushed
11,0.991,0.10807,93.42147,0.09427,0.06296,Brushed
12,0.985,0.16913,20.62943,0.56118,0.00964,Brushed
13,0.985,0.20033,37.37229,0.36301,0.00111,Brushed
14,0.987,0.04022,83.94874,0.11686,0.00524,Brushed
15,0.991,0.1854,70.55142,0.1581,0.04658,Brushed
16,0.982,0.07247,39.7399,0.09881,0.05945,Brushed
17,0.982,0.15502,15.49154,0.21786,0.00505,Brushed
18,0.989,0.20658,48.38678,0.25369,0,Brushed
19,0.983,0.24176,7.26865,0.42926,0.00791,Brushed
20,0.983,0.17162,24.30135,0.19319,0.02565,Brushed
22,0.983,0.14671,29.8137,0.26087,0.00921,Brushed
23,0.981,0.20709,7.9351,0.24016,0.02509,Brushed
24,0.987,0.07447,49.04044,0.19519,0.02882,Brushed
25,0.985,0.12724,37.37229,0.1644,0.03737,Brushed
26,0.981,0.04953,46.32849,0.11841,0.00479,Brushed
27,0.983,0.16262,19.35588,0.11287,0.08261,Brushed
28,0.989,0.21091,46.05627,0.16695,0.04802,Brushed
29,0.985,0.17793,19.35588,0.31956,0.06594,Brushed
30,0.991,0.21351,59.93274,0.22973,0.03582,Brushed
31,0.984,0.19578,19.56505,0.18499,0.05162,Brushed
32,0.987,0.25111,33.97938,0.239,0.0401,Brushed
33,0.987,0.22884,24.30135,0.20083,0.07068,Brushed
34,0.985,0.14682,29.8137,0.09828,0.08297,Brushed
35,0.987,0.17049,34.01092,0.36795,0.0458,Brushed
36,0.983,0.16702,15.78256,0.18976,0.06978,Brushed
37,0.988,0.22202,36.48963,0.28066,0.04805,Brushed
38,0.985,0.13969,37.37229,0.17656,0.02958,Brushed
39,0.981,0.1392,19.35588,0.08914,0.09543,Brushed
40,0.981,0.12224,37.37229,0.16543,0.00272,Brushed
41,0.989,0.17151,47.95447,0.19121,0.01368,Brushed
42,0.985,0.21216,19.59986,0.2408,0.08532,Brushed
43,0.985,0.14658,29.8137,0.16299,0.04887,Brushed
44,0.986,0.20733,20.25624,0.5467,0.03327,Brushed
45,0.985,0.24133,15.3428,0.53131,0.0319,Brushed
46,0.987,0.15231,33.98237,0.28236,0.05063,Brushed
47,0.983,0.02162,59.93274,0.0921,0.01875,Brushed
48,0.982,0.16689,15.49154,0.1737,0.04235,Brushed
49,0.981,0.09718,20.91698,0.50137,0.00884,Brushed
50,0.981,0.14387,22.09532,0.11448,0.04978,Brushed
