Realization	utility	week	infra.
0	0	1461	4
0	0	1774	8
0	0	2139	9
1	0	1722	4
1	0	2035	8
2	0	1617	4
2	0	1930	8
3	0	2087	4
4	0	1304	8
4	0	1669	4
4	0	1930	9
4	0	2191	10
7	0	1722	4
7	0	2035	8
8	0	1878	4
9	0	1565	4
9	0	1878	8
9	0	2139	9
10	0	1200	8
10	0	1878	4
10	0	2139	9
11	0	1565	4
11	0	1878	8
11	0	2191	9
12	0	1878	4
12	0	2295	8
13	0	2087	4
14	0	1200	4
14	0	1513	8
14	0	1774	9
14	0	2035	10
15	0	1304	4
15	0	1617	8
15	0	1878	9
15	0	2139	10
16	0	1565	4
16	0	1878	8
17	0	2035	4
18	0	2295	4
20	0	1617	4
20	0	1930	8
21	0	1200	4
21	0	1513	8
21	0	1774	9
21	0	2035	10
29	0	1095	8
29	0	1461	4
29	0	1722	9
29	0	1982	10
30	0	1513	4
30	0	1826	8
30	0	2087	9
34	0	1252	8
35	0	1356	4
35	0	1669	8
35	0	1930	9
35	0	2191	10
36	0	1252	8
36	0	1669	4
36	0	1930	9
36	0	2191	10
38	0	1513	4
38	0	1826	8
41	0	1513	4
41	0	1826	8
42	0	2191	4
43	0	1408	4
43	0	1722	8
43	0	2087	9
45	0	1565	4
45	0	1878	8
46	0	1722	4
46	0	2035	8
47	0	1565	4
47	0	1878	8
47	0	2139	9
48	0	1095	8
48	0	1982	4
48	0	2295	9
50	0	1774	4
50	0	2087	8
51	0	1669	4
51	0	1982	8
51	0	2243	9
52	0	1356	4
52	0	1669	8
52	0	1930	9
52	0	2191	10
56	0	1565	4
56	0	1878	8
56	0	2139	9
58	0	1774	4
58	0	2243	8
59	0	2087	4
60	0	1617	4
61	0	1930	4
61	0	2243	8
63	0	1930	4
63	0	2243	8
65	0	1043	8
65	0	1826	4
65	0	2139	9
66	0	1095	8
66	0	1826	4
66	0	2087	9
67	0	1095	8
67	0	2243	4
70	0	1722	4
70	0	2035	8
71	0	1095	8
71	0	1669	4
71	0	1930	9
71	0	2191	10
72	0	1565	4
72	0	1930	8
72	0	2295	9
74	0	1513	4
74	0	1826	8
74	0	2087	9
76	0	1565	4
76	0	1878	8
77	0	1148	8
77	0	1669	4
77	0	1930	9
77	0	2191	10
82	0	1930	4
82	0	2243	8
84	0	2139	4
87	0	1722	4
87	0	2035	8
87	0	2295	9
88	0	1617	4
88	0	1930	8
89	0	1252	8
91	0	1356	4
91	0	1669	8
91	0	1930	9
91	0	2191	10
92	0	1878	4
92	0	2243	8
93	0	626	8
93	0	887	9
93	0	1148	10
93	0	1565	4
94	0	1617	4
94	0	2139	8
95	0	1043	4
95	0	1356	8
95	0	1617	9
95	0	1878	10
99	0	2035	4
100	0	2035	4
104	0	1930	4
104	0	2243	8
105	0	1878	4
105	0	2191	8
108	0	1043	8
108	0	1356	9
108	0	1669	4
108	0	1930	10
109	0	1461	4
109	0	1774	8
109	0	2243	9
110	0	1617	4
110	0	1930	8
113	0	939	8
113	0	1356	4
113	0	1617	9
113	0	1878	10
115	0	2191	4
118	0	2139	4
119	0	834	8
119	0	1304	4
119	0	1565	9
119	0	1826	10
120	0	1461	4
120	0	1774	8
121	0	1617	4
121	0	1930	8
121	0	2191	9
122	0	1148	8
122	0	1878	4
122	0	2139	9
125	0	782	8
125	0	1356	9
125	0	1669	4
125	0	1930	10
126	0	1461	8
131	0	1774	4
131	0	2087	8
136	0	1878	4
137	0	1252	8
137	0	1565	4
137	0	1826	9
137	0	2087	10
140	0	1513	4
140	0	1826	8
141	0	1200	4
141	0	1513	8
142	0	1356	4
142	0	1669	8
142	0	1930	9
142	0	2191	10
143	0	1513	4
143	0	1826	8
144	0	1669	4
144	0	1982	8
148	0	2191	4
149	0	1408	8
149	0	2035	4
152	0	1356	4
152	0	1669	8
152	0	1930	9
152	0	2191	10
153	0	1669	4
153	0	1982	8
153	0	2243	9
158	0	1565	4
158	0	1878	8
160	0	2191	4
162	0	2191	4
165	0	1148	8
165	0	1669	4
165	0	1930	9
165	0	2243	10
166	0	1200	8
166	0	1461	9
166	0	1617	4
166	0	1878	10
167	0	1878	4
167	0	2191	8
169	0	1043	8
169	0	1356	4
169	0	1617	9
169	0	1878	10
175	0	1043	8
175	0	1878	4
175	0	2139	9
176	0	1408	4
176	0	1722	8
176	0	1982	9
176	0	2243	10
178	0	1461	4
178	0	1774	8
178	0	2035	9
179	0	782	8
179	0	1356	4
179	0	1617	9
179	0	1878	10
182	0	1826	4
182	0	2139	8
183	0	1878	4
183	0	2191	8
185	0	1669	4
185	0	2035	8
187	0	1252	4
187	0	1565	8
187	0	1826	9
187	0	2087	10
188	0	1617	4
188	0	1982	8
190	0	1356	4
190	0	1669	8
192	0	1617	4
192	0	1930	8
194	0	1669	4
194	0	1982	8
195	0	1200	8
195	0	1878	4
195	0	2191	9
201	0	1252	8
201	0	1617	4
201	0	1878	9
201	0	2139	10
202	0	1617	4
202	0	2243	8
204	0	1043	4
204	0	1356	8
204	0	1617	9
204	0	1878	10
205	0	887	8
205	0	1513	4
205	0	1774	9
205	0	2035	10
207	0	1095	8
207	0	1408	4
207	0	1669	9
207	0	1930	10
210	0	1356	4
210	0	1669	8
210	0	1930	9
210	0	2191	10
211	0	1565	4
211	0	1878	8
211	0	2191	9
213	0	939	8
213	0	1513	4
213	0	1774	9
213	0	2035	10
216	0	1669	4
216	0	1982	8
216	0	2243	9
219	0	1408	8
219	0	1565	4
219	0	1826	9
219	0	2087	10
220	0	1774	4
220	0	2087	8
222	0	1304	8
222	0	1617	4
222	0	1878	9
222	0	2139	10
225	0	2295	4
226	0	1095	8
226	0	1356	9
226	0	1617	4
226	0	1878	10
227	0	2035	4
228	0	1461	8
228	0	2087	4
229	0	1252	4
