Realization	utility	week	infra.
0	0	1461	4
0	0	1722	8
0	0	2243	10
1	0	1722	4
1	0	1982	8
2	0	1617	4
2	0	1878	8
4	0	1252	8
4	0	1774	4
4	0	2087	10
7	0	1722	4
7	0	1982	8
9	0	1565	4
9	0	1826	8
9	0	2139	10
10	0	1148	8
10	0	1878	4
10	0	2191	10
11	0	1565	4
11	0	1826	8
11	0	2139	10
12	0	2139	4
14	0	1304	4
14	0	1565	8
14	0	1930	10
14	0	2243	9
15	0	1356	4
15	0	1617	8
15	0	1930	10
15	0	2243	9
16	0	1565	4
16	0	1826	8
17	0	2035	4
20	0	1617	4
20	0	1878	8
21	0	1200	4
21	0	1461	8
21	0	1774	10
21	0	2087	9
29	0	1043	8
29	0	1617	4
29	0	1930	10
29	0	2243	9
30	0	1513	4
30	0	1774	8
30	0	2139	10
34	0	1200	8
35	0	1461	4
35	0	1722	8
35	0	2035	10
36	0	1200	8
36	0	1669	4
36	0	1982	10
36	0	2295	9
38	0	1669	4
38	0	1930	8
41	0	1669	4
41	0	1930	8
42	0	2295	4
43	0	1617	4
43	0	1878	8
43	0	2191	10
45	0	1565	4
45	0	1826	8
46	0	1722	4
46	0	1982	8
47	0	1565	4
47	0	1826	8
47	0	2191	10
48	0	1043	8
50	0	1774	4
50	0	2035	8
51	0	1774	4
51	0	2035	8
52	0	1356	4
52	0	1617	8
52	0	1930	10
52	0	2243	9
56	0	1617	4
56	0	1878	8
56	0	2191	10
58	0	1826	4
60	0	1774	4
61	0	1930	4
61	0	2191	8
63	0	1930	4
63	0	2191	8
65	0	991	8
65	0	1930	4
65	0	2243	10
66	0	1043	8
66	0	1930	4
66	0	2243	10
67	0	1043	8
70	0	1722	4
70	0	2087	8
71	0	1095	8
71	0	1774	4
71	0	2087	10
72	0	1565	4
72	0	1878	8
74	0	1617	4
74	0	1878	8
76	0	1565	4
76	0	1826	8
77	0	1095	8
77	0	1669	4
77	0	2035	10
82	0	2035	4
82	0	2295	8
87	0	1722	4
87	0	1982	8
87	0	2295	10
88	0	1878	4
88	0	2139	8
89	0	1200	8
91	0	1356	4
91	0	1617	8
91	0	1930	10
