Realization	utility	week	infra.
0	0	1982	4
2	0	1878	4
3	0	2035	4
4	0	1617	4
7	0	1982	4
8	0	1826	4
9	0	2087	4
10	0	1982	4
11	0	2035	4
14	0	1826	4
15	0	1408	4
16	0	2139	4
18	0	2087	4
20	0	1982	4
21	0	1617	4
24	0	2295	4
29	0	1774	4
30	0	1617	4
35	0	1826	4
36	0	1617	4
41	0	1930	4
42	0	2139	4
43	0	2035	4
45	0	1774	4
47	0	2035	4
48	0	1982	4
51	0	1722	4
52	0	1669	4
56	0	1513	4
58	0	1722	4
60	0	1774	4
61	0	1982	4
63	0	2243	4
65	0	2139	4
66	0	1930	4
67	0	1878	4
71	0	1669	4
72	0	1722	4
74	0	1722	4
76	0	2295	4
77	0	1930	4
82	0	1826	4
84	0	1982	4
87	0	2087	4
91	0	1722	4
92	0	1826	4
93	0	1617	4
94	0	1565	4
95	0	1408	4
99	0	1878	4
100	0	2295	4
104	0	2087	4
108	0	1669	4
109	0	1930	4
110	0	1878	4
113	0	1565	4
115	0	1826	4
119	0	1252	4
121	0	1826	4
122	0	2139	4
125	0	1722	4
131	0	1722	4
136	0	2295	4
137	0	1617	4
140	0	1930	4
141	0	1148	4
142	0	1774	4
143	0	1982	4
144	0	1826	4
148	0	2139	4
149	0	1982	4
152	0	1878	4
153	0	1930	4
158	0	1930	4
160	0	1930	4
165	0	2087	4
166	0	1565	4
167	0	1826	4
169	0	1722	4
175	0	2243	4
176	0	1617	4
178	0	1774	4
182	0	1826	4
187	0	1304	4
188	0	2191	4
192	0	1930	4
194	0	1669	4
195	0	1722	4
201	0	1617	4
202	0	1565	4
204	0	1617	4
205	0	1774	4
206	0	2295	4
207	0	1930	4
210	0	1878	4
211	0	1774	4
216	0	1826	4
219	0	1513	4
220	0	1722	4
222	0	1722	4
226	0	1669	4
227	0	1930	4
228	0	1878	4
229	0	1722	4
230	0	1565	4
231	0	1982	4
232	0	1826	4
233	0	1774	4
234	0	1617	4
238	0	1774	4
240	0	1826	4
242	0	1930	4
245	0	2035	4
246	0	2191	4
247	0	1982	4
255	0	1930	4
256	0	2087	4
257	0	1408	4
264	0	2295	4
265	0	1774	4
266	0	1669	4
268	0	1930	4
279	0	1826	4
281	0	1617	4
282	0	1982	4
283	0	1878	4
285	0	1669	4
287	0	1669	4
288	0	2035	4
290	0	2139	4
291	0	1722	4
295	0	1669	4
298	0	1930	4
299	0	1982	4
301	0	2191	4
304	0	1669	4
312	0	2191	4
316	0	1826	4
319	0	1356	4
321	0	2191	4
323	0	2191	4
326	0	1461	4
329	0	1930	4
333	0	1617	4
335	0	2139	4
339	0	1826	4
340	0	2035	4
344	0	1722	4
348	0	1878	4
351	0	1617	4
354	0	1878	4
355	0	1878	4
360	0	1774	4
361	0	1826	4
362	0	1774	4
363	0	1826	4
364	0	1669	4
366	0	1408	4
367	0	1513	4
368	0	2035	4
372	0	1774	4
374	0	2139	4
375	0	1982	4
385	0	1982	4
389	0	1930	4
393	0	1878	4
394	0	1513	4
396	0	2191	4
398	0	2087	4
403	0	1982	4
408	0	2243	4
409	0	1461	4
411	0	2243	4
412	0	2243	4
413	0	1722	4
415	0	1878	4
416	0	1617	4
417	0	1669	4
418	0	1565	4
419	0	2087	4
421	0	1513	4
422	0	1878	4
428	0	1617	4
429	0	2191	4
430	0	1826	4
431	0	1930	4
434	0	1878	4
435	0	1252	4
446	0	1461	4
448	0	1930	4
450	0	1617	4
451	0	1617	4
453	0	2139	4
454	0	2087	4
455	0	1565	4
456	0	1617	4
457	0	1513	4
459	0	2035	4
461	0	1930	4
465	0	1565	4
